CouncilArea,Date,Price
Boroondara City Council,8/04/2017,3115000.0
Boroondara City Council,8/07/2017,2200000.0
Boroondara City Council,8/10/2016,13225000.0
Boroondara City Council,9/09/2017,16195000.0
Boroondara City Council,9/12/2017,20600000.0
Brimbank City Council,10/02/2018,495000.0
Brimbank City Council,10/03/2018,0.0
Brimbank City Council,10/12/2016,1711000.0
Brimbank City Council,11/11/2017,720000.0
Brimbank City Council,12/11/2016,1461000.0
Brimbank City Council,14/05/2016,665000.0
Brimbank City Council,14/10/2017,2800000.0
Brimbank City Council,15/07/2017,2608000.0
Brimbank City Council,15/10/2016,1095000.0
Brimbank City Council,16/09/2017,2525000.0
Brimbank City Council,17/02/2018,1750000.0
Brimbank City Council,17/03/2018,2710000.0
Brimbank City Council,17/06/2017,1650000.0
Brimbank City Council,18/06/2016,891000.0
Brimbank City Council,18/11/2017,680000.0
Brimbank City Council,19/08/2017,1295000.0
Brimbank City Council,21/10/2017,1206000.0
Brimbank City Council,22/04/2017,0.0
Brimbank City Council,22/05/2016,746000.0
Brimbank City Council,22/07/2017,2132000.0
Brimbank City Council,24/02/2018,1790000.0
Brimbank City Council,25/11/2017,756000.0
Brimbank City Council,26/07/2016,620000.0
Brimbank City Council,26/08/2017,1160000.0
Brimbank City Council,27/05/2017,1300000.0
Brimbank City Council,28/05/2016,847000.0
Brimbank City Council,28/10/2017,2110000.0
Brimbank City Council,29/04/2017,521000.0
Brimbank City Council,29/07/2017,765000.0
Brimbank City Council,3/03/2018,2765000.0
Brimbank City Council,3/09/2016,0.0
Brimbank City Council,3/09/2017,600500.0
Brimbank City Council,4/06/2016,450000.0
Brimbank City Council,6/01/2018,1985000.0
Brimbank City Council,6/08/2016,0.0
Brimbank City Council,7/10/2017,2355000.0
Brimbank City Council,8/04/2017,0.0
Brimbank City Council,8/07/2017,1005000.0
Brimbank City Council,9/09/2017,2015000.0
Brimbank City Council,9/12/2017,2270000.0
Cardinia Shire Council,30/09/2017,910000.0
Cardinia Shire Council,9/09/2017,0.0
Casey City Council,11/11/2017,880000.0
Casey City Council,17/03/2018,878000.0
Casey City Council,23/09/2017,1000000.0
Casey City Council,24/02/2018,3370000.0
Casey City Council,26/08/2017,720008.0
Casey City Council,27/05/2017,0.0
Casey City Council,29/07/2017,0.0
Casey City Council,3/03/2018,1090000.0
Casey City Council,3/09/2017,2676000.0
Casey City Council,30/09/2017,675000.0
Casey City Council,6/01/2018,960000.0
Casey City Council,8/07/2017,1870000.0
Casey City Council,9/12/2017,825000.0
Darebin City Council,1/07/2017,2070000.0
Darebin City Council,10/12/2016,2385000.0
Darebin City Council,11/11/2017,0.0
Darebin City Council,12/06/2016,2840000.0
Darebin City Council,12/08/2017,2071000.0
Darebin City Council,12/11/2016,830000.0
Darebin City Council,13/08/2016,701000.0
Darebin City Council,14/05/2016,3960000.0
Darebin City Council,14/10/2017,960000.0
Darebin City Council,15/10/2016,2000000.0
Darebin City Council,16/04/2016,5041000.0
Darebin City Council,16/09/2017,625000.0
Darebin City Council,17/02/2018,1400000.0
Darebin City Council,17/06/2017,4000000.0
Darebin City Council,17/09/2016,800000.0
Darebin City Council,18/03/2017,1136000.0
Darebin City Council,18/06/2016,791000.0
Darebin City Council,19/08/2017,1500000.0
Darebin City Council,19/11/2016,2487000.0
Darebin City Council,21/10/2017,920000.0
Darebin City Council,22/05/2016,2760000.0
Darebin City Council,23/04/2016,1250000.0
Darebin City Council,24/02/2018,3710000.0
Darebin City Council,24/06/2017,3282000.0
Darebin City Council,24/09/2016,5225000.0
Darebin City Council,26/08/2017,852000.0
Darebin City Council,27/05/2017,1650000.0
Darebin City Council,27/06/2016,1700000.0
Darebin City Council,27/11/2016,1162000.0
Darebin City Council,28/05/2016,2557000.0
Darebin City Council,28/08/2016,1300000.0
Darebin City Council,28/10/2017,6855000.0
Darebin City Council,29/04/2017,3245000.0
Darebin City Council,29/07/2017,1350000.0
Darebin City Council,3/02/2018,0.0
Darebin City Council,3/03/2018,1115000.0
Darebin City Council,3/09/2017,3380000.0
Darebin City Council,30/07/2016,4600000.0
Darebin City Council,4/03/2017,630000.0
Darebin City Council,6/01/2018,1950000.0
Darebin City Council,7/10/2017,0.0
Darebin City Council,8/04/2017,1970000.0
Darebin City Council,8/10/2016,915000.0
Darebin City Council,9/09/2017,1250000.0
Darebin City Council,9/12/2017,4641000.0
Frankston City Council,10/02/2018,640000.0
Frankston City Council,12/08/2017,650000.0
Frankston City Council,14/10/2017,0.0
Frankston City Council,19/08/2017,850000.0
Frankston City Council,24/06/2017,1050000.0
Frankston City Council,27/05/2017,1400000.0
Frankston City Council,28/10/2017,0.0
Frankston City Council,3/02/2018,810000.0
Frankston City Council,3/03/2018,690000.0
Frankston City Council,4/11/2017,655888.0
Frankston City Council,6/01/2018,1990000.0
Frankston City Council,9/12/2017,795000.0
Glen Eira City Council,10/09/2016,2991000.0
Glen Eira City Council,10/12/2016,3315000.0
Glen Eira City Council,11/11/2017,7250000.0
Glen Eira City Council,12/08/2017,3030000.0
Glen Eira City Council,12/11/2016,0.0
Glen Eira City Council,13/05/2017,1860000.0
Glen Eira City Council,14/05/2016,0.0
Glen Eira City Council,14/10/2017,3425000.0
Glen Eira City Council,15/07/2017,1384000.0
Glen Eira City Council,15/10/2016,1845000.0
Glen Eira City Council,16/04/2016,3520000.0
Glen Eira City Council,16/09/2017,4045000.0
Glen Eira City Council,17/02/2018,2475000.0
Glen Eira City Council,17/03/2018,6325000.0
Glen Eira City Council,17/06/2017,2700000.0
Glen Eira City Council,17/09/2016,791000.0
Glen Eira City Council,18/06/2016,4800000.0
Glen Eira City Council,18/11/2017,2620000.0
Glen Eira City Council,19/08/2017,6255000.0
Glen Eira City Council,19/11/2016,6129000.0
Glen Eira City Council,20/05/2017,1375000.0
